trial	participant_name	accuracy	acc_visd	stimulus	position	variable	recording_name	recording_date	average_calibration_accuracy_degrees
6	carola.txt	83.240615086627	2.19422261368349	at	center	accuracy	session01	03/19/2025	0.07
6	carola.txt	83.240615086627	2.19422261368349	at	center	accuracy	session02	03/19/2025	0.07
6	carola.txt	83.240615086627	2.19422261368349	at	center	accuracy	session03	03/26/2025	0.07
6	carola.txt	83.240615086627	2.19422261368349	at	center	accuracy	session04	03/26/2025	0.07
6	carola.txt	83.240615086627	2.19422261368349	at	center	accuracy	session05	04/11/2025	0.07
6	carola.txt	83.240615086627	2.19422261368349	at	center	accuracy	session06	04/11/2025	0.07
6	carola.txt	83.240615086627	2.19422261368349	at	center	accuracy	session07	04/12/2025	0.07
6	carola.txt	83.240615086627	2.19422261368349	at	center	accuracy	session08	04/12/2025	0.07
8	carola.txt	171.058469536004	4.50910125696906	at	center	accuracy	session01	03/19/2025	0.07
8	carola.txt	171.058469536004	4.50910125696906	at	center	accuracy	session02	03/19/2025	0.07
8	carola.txt	171.058469536004	4.50910125696906	at	center	accuracy	session03	03/26/2025	0.07
8	carola.txt	171.058469536004	4.50910125696906	at	center	accuracy	session04	03/26/2025	0.07
8	carola.txt	171.058469536004	4.50910125696906	at	center	accuracy	session05	04/11/2025	0.07
8	carola.txt	171.058469536004	4.50910125696906	at	center	accuracy	session06	04/11/2025	0.07
8	carola.txt	171.058469536004	4.50910125696906	at	center	accuracy	session07	04/12/2025	0.07
10	carola.txt	267.421016376799	7.04921799169241	at	center	accuracy	session01	03/19/2025	0.07
10	carola.txt	267.421016376799	7.04921799169241	at	center	accuracy	session02	03/19/2025	0.07
10	carola.txt	267.421016376799	7.04921799169241	at	center	accuracy	session03	03/26/2025	0.07
10	carola.txt	267.421016376799	7.04921799169241	at	center	accuracy	session04	03/26/2025	0.07
10	carola.txt	267.421016376799	7.04921799169241	at	center	accuracy	session05	04/11/2025	0.07
10	carola.txt	267.421016376799	7.04921799169241	at	center	accuracy	session06	04/11/2025	0.07
10	carola.txt	267.421016376799	7.04921799169241	at	center	accuracy	session07	04/12/2025	0.07
9	carola.txt	76.4198926981712	2.01442837152379	at	center	accuracy	session01	03/19/2025	0.07
9	carola.txt	76.4198926981712	2.01442837152379	at	center	accuracy	session02	03/19/2025	0.07
9	carola.txt	76.4198926981712	2.01442837152379	at	center	accuracy	session03	03/26/2025	0.07
9	carola.txt	76.4198926981712	2.01442837152379	at	center	accuracy	session04	03/26/2025	0.07
9	carola.txt	76.4198926981712	2.01442837152379	at	center	accuracy	session05	04/11/2025	0.07
9	carola.txt	76.4198926981712	2.01442837152379	at	center	accuracy	session06	04/11/2025	0.07
9	carola.txt	76.4198926981712	2.01442837152379	at	center	accuracy	session07	04/12/2025	0.07
7	carola.txt	72.1387551874857	1.90157758674212	at	center	accuracy	session01	03/19/2025	0.07
7	carola.txt	72.1387551874857	1.90157758674212	at	center	accuracy	session02	03/19/2025	0.07
7	carola.txt	72.1387551874857	1.90157758674212	at	center	accuracy	session03	03/26/2025	0.07
7	carola.txt	72.1387551874857	1.90157758674212	at	center	accuracy	session04	03/26/2025	0.07
7	carola.txt	72.1387551874857	1.90157758674212	at	center	accuracy	session05	04/11/2025	0.07
7	carola.txt	72.1387551874857	1.90157758674212	at	center	accuracy	session06	04/11/2025	0.07
7	carola.txt	72.1387551874857	1.90157758674212	at	center	accuracy	session07	04/12/2025	0.07
7	carola.txt	72.1387551874857	1.90157758674212	at	center	accuracy	session08	04/12/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session01	03/19/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session02	03/19/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session03	03/26/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session04	03/26/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session05	04/11/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session06	04/11/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session07	04/12/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session08	04/12/2025	0.07
1	carola.txt	76.694197955256	2.02165905810055	at	center	accuracy	session09	06/25/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session01	03/19/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session02	03/19/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session03	03/26/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session04	03/26/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session05	04/11/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session06	04/11/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session07	04/12/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session08	04/12/2025	0.07
3	carola.txt	63.0634601017102	1.66235280828108	at	center	accuracy	session09	06/25/2025	0.07
5	carola.txt	50.60632371552	1.33398269314111	at	center	accuracy	session01	03/19/2025	0.07
5	carola.txt	50.60632371552	1.33398269314111	at	center	accuracy	session02	03/19/2025	0.07
5	carola.txt	50.60632371552	1.33398269314111	at	center	accuracy	session03	03/26/2025	0.07
5	carola.txt	50.60632371552	1.33398269314111	at	center	accuracy	session04	03/26/2025	0.07
5	carola.txt	50.60632371552	1.33398269314111	at	center	accuracy	session05	04/11/2025	0.07
5	carola.txt	50.60632371552	1.33398269314111	at	center	accuracy	session06	04/11/2025	0.07
5	carola.txt	50.60632371552	1.33398269314111	at	center	accuracy	session07	04/12/2025	0.07
5	carola.txt	50.60632371552	1.33398269314111	at	center	accuracy	session08	04/12/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session01	03/19/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session02	03/19/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session03	03/26/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session04	03/26/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session05	04/11/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session06	04/11/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session07	04/12/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session08	04/12/2025	0.07
2	carola.txt	126.12692020342	3.32470561656216	at	center	accuracy	session09	06/25/2025	0.07
7	carola.txt	75.7429864739964	1.99658512345455	object	top	accuracy	session01	03/19/2025	0.07
7	carola.txt	75.7429864739964	1.99658512345455	object	top	accuracy	session02	03/19/2025	0.07
7	carola.txt	75.7429864739964	1.99658512345455	object	top	accuracy	session03	03/26/2025	0.07
7	carola.txt	75.7429864739964	1.99658512345455	object	top	accuracy	session04	03/26/2025	0.07
7	carola.txt	75.7429864739964	1.99658512345455	object	top	accuracy	session05	04/11/2025	0.07
7	carola.txt	75.7429864739964	1.99658512345455	object	top	accuracy	session06	04/11/2025	0.07
7	carola.txt	75.7429864739964	1.99658512345455	object	top	accuracy	session07	04/12/2025	0.07
7	carola.txt	75.7429864739964	1.99658512345455	object	top	accuracy	session08	04/12/2025	0.07
10	carola.txt	105.418214744891	2.77882414067533	object	top	accuracy	session01	03/19/2025	0.07
10	carola.txt	105.418214744891	2.77882414067533	object	top	accuracy	session02	03/19/2025	0.07
10	carola.txt	105.418214744891	2.77882414067533	object	top	accuracy	session03	03/26/2025	0.07
10	carola.txt	105.418214744891	2.77882414067533	object	top	accuracy	session04	03/26/2025	0.07
10	carola.txt	105.418214744891	2.77882414067533	object	top	accuracy	session05	04/11/2025	0.07
10	carola.txt	105.418214744891	2.77882414067533	object	top	accuracy	session06	04/11/2025	0.07
10	carola.txt	105.418214744891	2.77882414067533	object	top	accuracy	session07	04/12/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session01	03/19/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session02	03/19/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session03	03/26/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session04	03/26/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session05	04/11/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session06	04/11/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session07	04/12/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session08	04/12/2025	0.07
4	carola.txt	113.951744172698	3.00376797639232	object	top	accuracy	session09	06/25/2025	0.07
6	carola.txt	163.355440680744	4.30604941634441	object	top	accuracy	session01	03/19/2025	0.07
6	carola.txt	163.355440680744	4.30604941634441	object	top	accuracy	session02	03/19/2025	0.07
6	carola.txt	163.355440680744	4.30604941634441	object	top	accuracy	session03	03/26/2025	0.07
6	carola.txt	163.355440680744	4.30604941634441	object	top	accuracy	session04	03/26/2025	0.07
6	carola.txt	163.355440680744	4.30604941634441	object	top	accuracy	session05	04/11/2025	0.07
6	carola.txt	163.355440680744	4.30604941634441	object	top	accuracy	session06	04/11/2025	0.07
6	carola.txt	163.355440680744	4.30604941634441	object	top	accuracy	session07	04/12/2025	0.07
6	carola.txt	163.355440680744	4.30604941634441	object	top	accuracy	session08	04/12/2025	0.07
8	carola.txt	88.8144132446981	2.34114793313024	object	top	accuracy	session01	03/19/2025	0.07
8	carola.txt	88.8144132446981	2.34114793313024	object	top	accuracy	session02	03/19/2025	0.07
8	carola.txt	88.8144132446981	2.34114793313024	object	top	accuracy	session03	03/26/2025	0.07
8	carola.txt	88.8144132446981	2.34114793313024	object	top	accuracy	session04	03/26/2025	0.07
8	carola.txt	88.8144132446981	2.34114793313024	object	top	accuracy	session05	04/11/2025	0.07
8	carola.txt	88.8144132446981	2.34114793313024	object	top	accuracy	session06	04/11/2025	0.07
8	carola.txt	88.8144132446981	2.34114793313024	object	top	accuracy	session07	04/12/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session01	03/19/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session02	03/19/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session03	03/26/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session04	03/26/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session05	04/11/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session06	04/11/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session07	04/12/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session08	04/12/2025	0.07
2	carola.txt	66.2419806467168	1.74613860984745	object	top	accuracy	session09	06/25/2025	0.07
1	carola.txt	20.6155281280883	0.543425321456408	object	top	accuracy	session01	03/19/2025	0.07
