trial	participant_name	accuracy	acc_visd	stimulus	position	variable	recording_name	recording_date	average_calibration_accuracy_degrees
6	daza.txt	197.124326251227	5.19619723998233	at	center	accuracy	session01	02/27/2025	0.01
6	daza.txt	197.124326251227	5.19619723998233	at	center	accuracy	session02	02/27/2025	0.01
6	daza.txt	197.124326251227	5.19619723998233	at	center	accuracy	session03	03/03/2025	0.01
6	daza.txt	197.124326251227	5.19619723998233	at	center	accuracy	session04	03/03/2025	0.01
6	daza.txt	197.124326251227	5.19619723998233	at	center	accuracy	session05	03/06/2025	0.01
6	daza.txt	197.124326251227	5.19619723998233	at	center	accuracy	session06	03/06/2025	0.01
6	daza.txt	197.124326251227	5.19619723998233	at	center	accuracy	session07	03/07/2025	0.01
6	daza.txt	197.124326251227	5.19619723998233	at	center	accuracy	session08	03/07/2025	0.01
8	daza.txt	251.628694707102	6.63293239247921	at	center	accuracy	session01	02/27/2025	0.01
8	daza.txt	251.628694707102	6.63293239247921	at	center	accuracy	session02	02/27/2025	0.01
8	daza.txt	251.628694707102	6.63293239247921	at	center	accuracy	session03	03/03/2025	0.01
8	daza.txt	251.628694707102	6.63293239247921	at	center	accuracy	session04	03/03/2025	0.01
8	daza.txt	251.628694707102	6.63293239247921	at	center	accuracy	session05	03/06/2025	0.01
8	daza.txt	251.628694707102	6.63293239247921	at	center	accuracy	session06	03/06/2025	0.01
8	daza.txt	251.628694707102	6.63293239247921	at	center	accuracy	session07	03/07/2025	0.01
10	daza.txt	245.904452989367	6.48204138079972	at	center	accuracy	session01	02/27/2025	0.01
10	daza.txt	245.904452989367	6.48204138079972	at	center	accuracy	session02	02/27/2025	0.01
10	daza.txt	245.904452989367	6.48204138079972	at	center	accuracy	session03	03/03/2025	0.01
10	daza.txt	245.904452989367	6.48204138079972	at	center	accuracy	session04	03/03/2025	0.01
10	daza.txt	245.904452989367	6.48204138079972	at	center	accuracy	session05	03/06/2025	0.01
10	daza.txt	245.904452989367	6.48204138079972	at	center	accuracy	session06	03/06/2025	0.01
10	daza.txt	245.904452989367	6.48204138079972	at	center	accuracy	session07	03/07/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session01	02/27/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session02	02/27/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session03	03/03/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session04	03/03/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session05	03/06/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session06	03/06/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session07	03/07/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session08	03/07/2025	0.01
5	daza.txt	137.644469558352	3.62830821755815	at	center	accuracy	session09	03/11/2025	0.01
7	daza.txt	126.732000694379	3.34065553830382	at	center	accuracy	session01	02/27/2025	0.01
7	daza.txt	126.732000694379	3.34065553830382	at	center	accuracy	session02	02/27/2025	0.01
7	daza.txt	126.732000694379	3.34065553830382	at	center	accuracy	session03	03/03/2025	0.01
7	daza.txt	126.732000694379	3.34065553830382	at	center	accuracy	session04	03/03/2025	0.01
7	daza.txt	126.732000694379	3.34065553830382	at	center	accuracy	session05	03/06/2025	0.01
