trial	participant_name	accuracy	acc_visd	stimulus	position	variable	recording_name	recording_date	average_calibration_accuracy_degrees
6	fraukje.txt	38.6005181312376	1.01750965793942	at	center	accuracy	session01	03/19/2025	0.06
6	fraukje.txt	38.6005181312376	1.01750965793942	at	center	accuracy	session02	03/19/2025	0.06
6	fraukje.txt	38.6005181312376	1.01750965793942	at	center	accuracy	session03	03/26/2025	0.06
6	fraukje.txt	38.6005181312376	1.01750965793942	at	center	accuracy	session04	03/26/2025	0.06
6	fraukje.txt	38.6005181312376	1.01750965793942	at	center	accuracy	session05	04/11/2025	0.06
6	fraukje.txt	38.6005181312376	1.01750965793942	at	center	accuracy	session06	04/11/2025	0.06
6	fraukje.txt	38.6005181312376	1.01750965793942	at	center	accuracy	session07	04/12/2025	0.06
6	fraukje.txt	38.6005181312376	1.01750965793942	at	center	accuracy	session08	04/12/2025	0.06
10	fraukje.txt	125.031995905048	3.29584341205707	at	center	accuracy	session01	03/19/2025	0.06
10	fraukje.txt	125.031995905048	3.29584341205707	at	center	accuracy	session02	03/19/2025	0.06
10	fraukje.txt	125.031995905048	3.29584341205707	at	center	accuracy	session03	03/26/2025	0.06
10	fraukje.txt	125.031995905048	3.29584341205707	at	center	accuracy	session04	03/26/2025	0.06
10	fraukje.txt	125.031995905048	3.29584341205707	at	center	accuracy	session05	04/11/2025	0.06
10	fraukje.txt	125.031995905048	3.29584341205707	at	center	accuracy	session06	04/11/2025	0.06
10	fraukje.txt	125.031995905048	3.29584341205707	at	center	accuracy	session07	04/12/2025	0.06
7	fraukje.txt	65.299310869258	1.72128983451364	at	center	accuracy	session01	03/19/2025	0.06
7	fraukje.txt	65.299310869258	1.72128983451364	at	center	accuracy	session02	03/19/2025	0.06
7	fraukje.txt	65.299310869258	1.72128983451364	at	center	accuracy	session03	03/26/2025	0.06
7	fraukje.txt	65.299310869258	1.72128983451364	at	center	accuracy	session04	03/26/2025	0.06
7	fraukje.txt	65.299310869258	1.72128983451364	at	center	accuracy	session05	04/11/2025	0.06
7	fraukje.txt	65.299310869258	1.72128983451364	at	center	accuracy	session06	04/11/2025	0.06
7	fraukje.txt	65.299310869258	1.72128983451364	at	center	accuracy	session07	04/12/2025	0.06
7	fraukje.txt	65.299310869258	1.72128983451364	at	center	accuracy	session08	04/12/2025	0.06
9	fraukje.txt	81.6884324736373	2.15330708000508	at	center	accuracy	session01	03/19/2025	0.06
9	fraukje.txt	81.6884324736373	2.15330708000508	at	center	accuracy	session02	03/19/2025	0.06
9	fraukje.txt	81.6884324736373	2.15330708000508	at	center	accuracy	session03	03/26/2025	0.06
9	fraukje.txt	81.6884324736373	2.15330708000508	at	center	accuracy	session04	03/26/2025	0.06
9	fraukje.txt	81.6884324736373	2.15330708000508	at	center	accuracy	session05	04/11/2025	0.06
9	fraukje.txt	81.6884324736373	2.15330708000508	at	center	accuracy	session06	04/11/2025	0.06
9	fraukje.txt	81.6884324736373	2.15330708000508	at	center	accuracy	session07	04/12/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session01	03/19/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session02	03/19/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session03	03/26/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session04	03/26/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session05	04/11/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session06	04/11/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session07	04/12/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session08	04/12/2025	0.06
5	fraukje.txt	57.7234787586472	1.52159090007794	at	center	accuracy	session09	06/09/2025	0.06
1	fraukje.txt	16.1554944214035	0.425858832948197	at	center	accuracy	session01	03/19/2025	0.06
1	fraukje.txt	16.1554944214035	0.425858832948197	at	center	accuracy	session10	06/11/2025	0.06
1	fraukje.txt	16.1554944214035	0.425858832948197	at	center	accuracy	session02	03/19/2025	0.06
1	fraukje.txt	16.1554944214035	0.425858832948197	at	center	accuracy	session03	03/26/2025	0.06
1	fraukje.txt	16.1554944214035	0.425858832948197	at	center	accuracy	session04	03/26/2025	0.06
1	fraukje.txt	16.1554944214035	0.425858832948197	at	center	accuracy	session05	04/11/2025	0.06
