trial	participant_name	accuracy	acc_visd	stimulus	position	variable	recording_name	recording_date	average_calibration_accuracy_degrees
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session01	02/27/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session10	03/12/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session11	03/13/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session02	03/03/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session03	03/03/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session04	03/06/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session05	03/06/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session06	03/07/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session07	03/07/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session08	03/11/2025	0.27
6	hope.txt	173.002890149269	4.56035618433473	at	center	accuracy	session09	03/11/2025	0.27
10	hope.txt	204.401565551734	5.38802526794372	at	center	accuracy	session01	02/27/2025	0.27
10	hope.txt	204.401565551734	5.38802526794372	at	center	accuracy	session02	03/03/2025	0.27
10	hope.txt	204.401565551734	5.38802526794372	at	center	accuracy	session03	03/03/2025	0.27
10	hope.txt	204.401565551734	5.38802526794372	at	center	accuracy	session04	03/06/2025	0.27
10	hope.txt	204.401565551734	5.38802526794372	at	center	accuracy	session05	03/06/2025	0.27
10	hope.txt	204.401565551734	5.38802526794372	at	center	accuracy	session06	03/07/2025	0.27
10	hope.txt	204.401565551734	5.38802526794372	at	center	accuracy	session07	03/07/2025	0.27
7	hope.txt	202.071769428587	5.32661184213755	at	center	accuracy	session01	02/27/2025	0.27
7	hope.txt	202.071769428587	5.32661184213755	at	center	accuracy	session10	03/12/2025	0.27
7	hope.txt	202.071769428587	5.32661184213755	at	center	accuracy	session11	03/13/2025	0.27
7	hope.txt	202.071769428587	5.32661184213755	at	center	accuracy	session02	03/03/2025	0.27
7	hope.txt	202.071769428587	5.32661184213755	at	center	accuracy	session03	03/03/2025	0.27
