trial	participant_name	accuracy	acc_visd	stimulus	position	variable	recording_name	recording_date	average_calibration_accuracy_degrees
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session01	03/31/2025	0.46
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session02	03/31/2025	0.46
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session03	04/01/2025	0.46
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session04	04/01/2025	0.46
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session05	04/11/2025	0.46
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session06	04/11/2025	0.46
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session07	04/12/2025	0.46
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session08	04/12/2025	0.46
6	makeni.txt	147.665161768103	3.89245366420719	at	center	accuracy	session09	04/14/2025	0.46
8	makeni.txt	178.549712965325	4.70657043376597	at	center	accuracy	session01	03/31/2025	0.46
8	makeni.txt	178.549712965325	4.70657043376597	at	center	accuracy	session02	03/31/2025	0.46
8	makeni.txt	178.549712965325	4.70657043376597	at	center	accuracy	session03	04/01/2025	0.46
8	makeni.txt	178.549712965325	4.70657043376597	at	center	accuracy	session04	04/01/2025	0.46
8	makeni.txt	178.549712965325	4.70657043376597	at	center	accuracy	session05	04/11/2025	0.46
8	makeni.txt	178.549712965325	4.70657043376597	at	center	accuracy	session06	04/11/2025	0.46
8	makeni.txt	178.549712965325	4.70657043376597	at	center	accuracy	session07	04/12/2025	0.46
10	makeni.txt	161.049681775532	4.24526961160301	at	center	accuracy	session01	03/31/2025	0.46
10	makeni.txt	161.049681775532	4.24526961160301	at	center	accuracy	session02	03/31/2025	0.46
10	makeni.txt	161.049681775532	4.24526961160301	at	center	accuracy	session03	04/01/2025	0.46
10	makeni.txt	161.049681775532	4.24526961160301	at	center	accuracy	session04	04/01/2025	0.46
10	makeni.txt	161.049681775532	4.24526961160301	at	center	accuracy	session05	04/11/2025	0.46
10	makeni.txt	161.049681775532	4.24526961160301	at	center	accuracy	session06	04/11/2025	0.46
10	makeni.txt	161.049681775532	4.24526961160301	at	center	accuracy	session07	04/12/2025	0.46
9	makeni.txt	142.214626533279	3.74877755541723	at	center	accuracy	session01	03/31/2025	0.46
9	makeni.txt	142.214626533279	3.74877755541723	at	center	accuracy	session02	03/31/2025	0.46
9	makeni.txt	142.214626533279	3.74877755541723	at	center	accuracy	session03	04/01/2025	0.46
9	makeni.txt	142.214626533279	3.74877755541723	at	center	accuracy	session04	04/01/2025	0.46
9	makeni.txt	142.214626533279	3.74877755541723	at	center	accuracy	session05	04/11/2025	0.46
9	makeni.txt	142.214626533279	3.74877755541723	at	center	accuracy	session06	04/11/2025	0.46
9	makeni.txt	142.214626533279	3.74877755541723	at	center	accuracy	session07	04/12/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session01	03/31/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session02	03/31/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session03	04/01/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session04	04/01/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session05	04/11/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session06	04/11/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session07	04/12/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session08	04/12/2025	0.46
1	makeni.txt	138.57849761056	3.65292919701436	at	center	accuracy	session09	04/14/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session01	03/31/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session02	03/31/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session03	04/01/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session04	04/01/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session05	04/11/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session06	04/11/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session07	04/12/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session08	04/12/2025	0.46
3	makeni.txt	34.0587727318528	0.89778924921164	at	center	accuracy	session09	04/14/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session01	03/31/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session02	03/31/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session03	04/01/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session04	04/01/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session05	04/11/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session06	04/11/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session07	04/12/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session08	04/12/2025	0.46
7	makeni.txt	184.114095060644	4.85324754579859	at	center	accuracy	session09	04/14/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session01	03/31/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session02	03/31/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session03	04/01/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session04	04/01/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session05	04/11/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session06	04/11/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session07	04/12/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session08	04/12/2025	0.46
5	makeni.txt	64.621977685614	1.70343533179279	at	center	accuracy	session09	04/14/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session01	03/31/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session02	03/31/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session03	04/01/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session04	04/01/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session05	04/11/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session06	04/11/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session07	04/12/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session08	04/12/2025	0.46
7	makeni.txt	217.720003674444	5.73909929685835	object	top	accuracy	session09	04/14/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session01	03/31/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session02	03/31/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session03	04/01/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session04	04/01/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session05	04/11/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session06	04/11/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session07	04/12/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session08	04/12/2025	0.46
2	makeni.txt	199.010049997481	5.24590491793361	object	top	accuracy	session09	04/14/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session01	03/31/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session02	03/31/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session03	04/01/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session04	04/01/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session05	04/11/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session06	04/11/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session07	04/12/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session08	04/12/2025	0.46
6	makeni.txt	198.962307988222	5.24464643856953	object	top	accuracy	session09	04/14/2025	0.46
10	makeni.txt	166.643331699771	4.39271822360597	object	top	accuracy	session01	03/31/2025	0.46
10	makeni.txt	166.643331699771	4.39271822360597	object	top	accuracy	session02	03/31/2025	0.46
10	makeni.txt	166.643331699771	4.39271822360597	object	top	accuracy	session03	04/01/2025	0.46
10	makeni.txt	166.643331699771	4.39271822360597	object	top	accuracy	session04	04/01/2025	0.46
10	makeni.txt	166.643331699771	4.39271822360597	object	top	accuracy	session05	04/11/2025	0.46
10	makeni.txt	166.643331699771	4.39271822360597	object	top	accuracy	session06	04/11/2025	0.46
10	makeni.txt	166.643331699771	4.39271822360597	object	top	accuracy	session07	04/12/2025	0.46
8	makeni.txt	219.494874655423	5.78588489591696	object	top	accuracy	session01	03/31/2025	0.46
8	makeni.txt	219.494874655423	5.78588489591696	object	top	accuracy	session02	03/31/2025	0.46
8	makeni.txt	219.494874655423	5.78588489591696	object	top	accuracy	session03	04/01/2025	0.46
8	makeni.txt	219.494874655423	5.78588489591696	object	top	accuracy	session04	04/01/2025	0.46
8	makeni.txt	219.494874655423	5.78588489591696	object	top	accuracy	session05	04/11/2025	0.46
8	makeni.txt	219.494874655423	5.78588489591696	object	top	accuracy	session06	04/11/2025	0.46
8	makeni.txt	219.494874655423	5.78588489591696	object	top	accuracy	session07	04/12/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session01	03/31/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session02	03/31/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session03	04/01/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session04	04/01/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session05	04/11/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session06	04/11/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session07	04/12/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session08	04/12/2025	0.46
4	makeni.txt	222.679141367125	5.86982216643741	object	top	accuracy	session09	04/14/2025	0.46
