trial	participant_name	accuracy	acc_visd	stimulus	position	variable	recording_name	recording_date	average_calibration_accuracy_degrees
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session01	04/13/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session10	07/03/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session02	04/13/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session03	04/14/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session04	04/14/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session05	06/11/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session06	06/11/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session07	06/26/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session08	06/26/2025	0.05
6	natascha.txt	64.4127316607517	1.69791960657741	at	center	accuracy	session09	07/03/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session01	04/13/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session10	07/03/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session02	04/13/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session03	04/14/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session04	04/14/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session05	06/11/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session06	06/11/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session07	06/26/2025	0.05
8	natascha.txt	64.3272881443016	1.69566731548379	at	center	accuracy	session09	07/03/2025	0.05
10	natascha.txt	70.2353187506115	1.85140300226612	at	center	accuracy	session01	04/13/2025	0.05
10	natascha.txt	70.2353187506115	1.85140300226612	at	center	accuracy	session02	04/13/2025	0.05
10	natascha.txt	70.2353187506115	1.85140300226612	at	center	accuracy	session03	04/14/2025	0.05
10	natascha.txt	70.2353187506115	1.85140300226612	at	center	accuracy	session04	04/14/2025	0.05
10	natascha.txt	70.2353187506115	1.85140300226612	at	center	accuracy	session05	06/11/2025	0.05
10	natascha.txt	70.2353187506115	1.85140300226612	at	center	accuracy	session06	06/11/2025	0.05
10	natascha.txt	70.2353187506115	1.85140300226612	at	center	accuracy	session07	06/26/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session01	04/13/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session10	07/03/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session02	04/13/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session03	04/14/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session04	04/14/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session05	06/11/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session06	06/11/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session07	06/26/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session08	06/26/2025	0.05
1	natascha.txt	97.3498844375277	2.56614295377323	at	center	accuracy	session09	07/03/2025	0.05
9	natascha.txt	190.709202714499	5.0270945835542	at	center	accuracy	session01	04/13/2025	0.05
9	natascha.txt	190.709202714499	5.0270945835542	at	center	accuracy	session02	04/13/2025	0.05
9	natascha.txt	190.709202714499	5.0270945835542	at	center	accuracy	session03	04/14/2025	0.05
9	natascha.txt	190.709202714499	5.0270945835542	at	center	accuracy	session04	04/14/2025	0.05
9	natascha.txt	190.709202714499	5.0270945835542	at	center	accuracy	session05	06/11/2025	0.05
9	natascha.txt	190.709202714499	5.0270945835542	at	center	accuracy	session06	06/11/2025	0.05
9	natascha.txt	190.709202714499	5.0270945835542	at	center	accuracy	session07	06/26/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session01	04/13/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session10	07/03/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session02	04/13/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session03	04/14/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session04	04/14/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session05	06/11/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session06	06/11/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session07	06/26/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session08	06/26/2025	0.05
7	natascha.txt	45.9673797382448	1.21170012990013	at	center	accuracy	session09	07/03/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session01	04/13/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session10	07/03/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session02	04/13/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session03	04/14/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session04	04/14/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session05	06/11/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session06	06/11/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session07	06/26/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session08	06/26/2025	0.05
5	natascha.txt	53.3666562565053	1.40674505892148	at	center	accuracy	session09	07/03/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session01	04/13/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session10	07/03/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session02	04/13/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session03	04/14/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session04	04/14/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session05	06/11/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session06	06/11/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session07	06/26/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session08	06/26/2025	0.05
3	natascha.txt	183.371208208922	4.8336650483872	at	center	accuracy	session09	07/03/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session01	04/13/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session10	07/03/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session02	04/13/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session03	04/14/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session04	04/14/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session05	06/11/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session06	06/11/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session07	06/26/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session08	06/26/2025	0.05
4	natascha.txt	122.776219195738	3.23638113799966	at	center	accuracy	session09	07/03/2025	0.05
