trial	participant_name	accuracy	acc_visd	stimulus	position	variable	recording_name	recording_date	average_calibration_accuracy_degrees
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session01	03/19/2025	0.01
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session10	06/02/2025	0.01
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session02	03/19/2025	0.01
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session03	03/26/2025	0.01
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session04	03/26/2025	0.01
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session05	03/31/2025	0.01
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session06	03/31/2025	0.01
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session07	04/11/2025	0.01
6	riet.txt	174.522204890954	4.60040532092554	at	center	accuracy	session08	04/11/2025	0.01
8	riet.txt	161.919733201361	4.26820416718788	at	center	accuracy	session01	03/19/2025	0.01
8	riet.txt	161.919733201361	4.26820416718788	at	center	accuracy	session02	03/19/2025	0.01
8	riet.txt	161.919733201361	4.26820416718788	at	center	accuracy	session03	03/26/2025	0.01
8	riet.txt	161.919733201361	4.26820416718788	at	center	accuracy	session04	03/26/2025	0.01
8	riet.txt	161.919733201361	4.26820416718788	at	center	accuracy	session05	03/31/2025	0.01
8	riet.txt	161.919733201361	4.26820416718788	at	center	accuracy	session06	03/31/2025	0.01
8	riet.txt	161.919733201361	4.26820416718788	at	center	accuracy	session07	04/11/2025	0.01
10	riet.txt	114.494541354599	3.01807611010723	at	center	accuracy	session01	03/19/2025	0.01
10	riet.txt	114.494541354599	3.01807611010723	at	center	accuracy	session02	03/19/2025	0.01
10	riet.txt	114.494541354599	3.01807611010723	at	center	accuracy	session03	03/26/2025	0.01
10	riet.txt	114.494541354599	3.01807611010723	at	center	accuracy	session04	03/26/2025	0.01
10	riet.txt	114.494541354599	3.01807611010723	at	center	accuracy	session05	03/31/2025	0.01
10	riet.txt	114.494541354599	3.01807611010723	at	center	accuracy	session06	03/31/2025	0.01
10	riet.txt	114.494541354599	3.01807611010723	at	center	accuracy	session07	04/11/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session01	03/19/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session10	06/02/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session02	03/19/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session03	03/26/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session04	03/26/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session05	03/31/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session06	03/31/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session07	04/11/2025	0.01
4	riet.txt	132.698907305222	3.49794319656566	at	center	accuracy	session08	04/11/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session01	03/19/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session10	06/02/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session02	03/19/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session03	03/26/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session04	03/26/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session05	03/31/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session06	03/31/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session07	04/11/2025	0.01
5	riet.txt	29.0172362570938	0.764894347736993	at	center	accuracy	session08	04/11/2025	0.01
7	riet.txt	143.836712976903	3.79153575407117	at	center	accuracy	session01	03/19/2025	0.01
7	riet.txt	143.836712976903	3.79153575407117	at	center	accuracy	session02	03/19/2025	0.01
7	riet.txt	143.836712976903	3.79153575407117	at	center	accuracy	session03	03/26/2025	0.01
7	riet.txt	143.836712976903	3.79153575407117	at	center	accuracy	session04	03/26/2025	0.01
7	riet.txt	143.836712976903	3.79153575407117	at	center	accuracy	session05	03/31/2025	0.01
7	riet.txt	143.836712976903	3.79153575407117	at	center	accuracy	session06	03/31/2025	0.01
7	riet.txt	143.836712976903	3.79153575407117	at	center	accuracy	session07	04/11/2025	0.01
7	riet.txt	143.836712976903	3.79153575407117	at	center	accuracy	session08	04/11/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session01	03/19/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session10	06/02/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session02	03/19/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session03	03/26/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session04	03/26/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session05	03/31/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session06	03/31/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session07	04/11/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session08	04/11/2025	0.01
1	riet.txt	59.4138031100518	1.56614784998097	at	center	accuracy	session09	04/12/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session01	03/19/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session10	06/02/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session02	03/19/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session03	03/26/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session04	03/26/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session05	03/31/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session06	03/31/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session07	04/11/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session08	04/11/2025	0.01
3	riet.txt	55.5427763079953	1.46410758347876	at	center	accuracy	session09	04/12/2025	0.01
9	riet.txt	51.478150704935	1.35696405258209	at	center	accuracy	session01	03/19/2025	0.01
9	riet.txt	51.478150704935	1.35696405258209	at	center	accuracy	session02	03/19/2025	0.01
9	riet.txt	51.478150704935	1.35696405258209	at	center	accuracy	session03	03/26/2025	0.01
9	riet.txt	51.478150704935	1.35696405258209	at	center	accuracy	session04	03/26/2025	0.01
9	riet.txt	51.478150704935	1.35696405258209	at	center	accuracy	session05	03/31/2025	0.01
9	riet.txt	51.478150704935	1.35696405258209	at	center	accuracy	session06	03/31/2025	0.01
9	riet.txt	51.478150704935	1.35696405258209	at	center	accuracy	session07	04/11/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session01	03/19/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session10	06/02/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session02	03/19/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session03	03/26/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session04	03/26/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session05	03/31/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session06	03/31/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session07	04/11/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session08	04/11/2025	0.01
2	riet.txt	156.604597633658	4.12809719362323	at	center	accuracy	session09	04/12/2025	0.01
7	riet.txt	139.291062168396	3.67171239875892	object	top	accuracy	session01	03/19/2025	0.01
7	riet.txt	139.291062168396	3.67171239875892	object	top	accuracy	session02	03/19/2025	0.01
