Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Eye openness left	Eye openness right	Eye openness filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Ungrouped	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0	1536485816955		daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12											RecordingStart																																																															
61179	1536485878134	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249537196																					Invalid	Invalid																									EyesNotFound	758	1															
69512	1536485886467	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249545529																					Invalid	Invalid																									EyesNotFound	758	1															
77845	1536485894800	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249553862																					Invalid	Invalid																									EyesNotFound	758	1															
86178	1536485903133	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249562196																					Invalid	Invalid																									EyesNotFound	758	1															
94511	1536485911466	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249570529																					Invalid	Invalid																									EyesNotFound	758	1															
102844	1536485919799	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249578862																					Invalid	Invalid																									EyesNotFound	758	1															
111178	1536485928133	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249587196																					Invalid	Invalid																									EyesNotFound	758	1															
119510	1536485936465	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249595529																					Invalid	Invalid																									EyesNotFound	758	1															
127843	1536485944798	Eye Tracker	daza_exp2	03/07/2025	Daza	session8	03/07/2025	03/07/2025	09:09:23.365	08:09:23.365	63781	session8	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.1	5.1	3.2	0.01	0.41	0.26	0	19	12										2249603862																					Invalid	Invalid																									EyesNotFound	758	1															
