Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Eye openness left	Eye openness right	Eye openness filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Ungrouped	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0	844594410709		zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29											RecordingStart																																																															
81253	844594491962	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408731706																					Invalid	Invalid																									EyesNotFound	183	1															
89587	844594500296	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408740039																					Invalid	Invalid																									EyesNotFound	183	1															
97923	844594508632	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408748372																					Invalid	Invalid																									EyesNotFound	183	1															
106258	844594516967	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408756706																					Invalid	Invalid																									EyesNotFound	183	1															
114590	844594525299	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408765039																					Invalid	Invalid																									EyesNotFound	183	1															
122923	844594533632	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408773372																					Invalid	Invalid																									EyesNotFound	183	1															
131256	844594541965	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408781706																					Invalid	Invalid																									EyesNotFound	183	1															
139589	844594550298	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408790039																					Invalid	Invalid																									EyesNotFound	183	1															
147921	844594558630	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408798372																					Invalid	Invalid																									EyesNotFound	183	1															
156254	844594566963	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408806706																					Invalid	Invalid																									EyesNotFound	183	1															
164587	844594575296	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408815039																					Invalid	Invalid																									EyesNotFound	183	1															
172923	844594583632	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408823372																					Invalid	Invalid																									EyesNotFound	183	1															
181262	844594591971	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408831706																					Invalid	Invalid																									EyesNotFound	183	1															
189601	844594600310	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408840039																					Invalid	Invalid																									EyesNotFound	183	1															
197939	844594608648	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408848372																					Invalid	Invalid																									EyesNotFound	183	1															
206278	844594616987	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408856705																					Invalid	Invalid																									EyesNotFound	183	1															
214618	844594625327	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408865039																					Invalid	Invalid																									EyesNotFound	183	1															
222953	844594633662	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408873372																					Invalid	Invalid																									EyesNotFound	183	1															
231287	844594641996	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408881706																					Invalid	Invalid																									EyesNotFound	183	1															
239620	844594650329	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408890039																					Invalid	Invalid																									EyesNotFound	183	1															
247953	844594658662	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408898372																					Invalid	Invalid																									EyesNotFound	183	1															
256286	844594666995	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408906705																					Invalid	Invalid																									EyesNotFound	183	1															
264622	844594675331	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408915040			610	1297	703	1303	517	1291	0.06804	0.31122	-0.94790	-0.07919	0.31344	-0.94630	4.291	4.231	4.261				Valid	Valid	146.6	144.3	652.1	195.6	143.8	637.7	193.4	358.5	142.2	355.0															Unclassified	17	1															
272956	844594683665	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408923372			605	1281	702	1275	508	1287	0.06766	0.30102	-0.95121	-0.08308	0.31183	-0.94650	4.277	4.229	4.254				Valid	Valid	146.6	144.3	652.1	195.6	143.8	637.7	193.0	350.7	139.6	353.9															Unclassified	17	1															
281292	844594692001	Eye Tracker	zira_exp2	02/27/2025	Zira	session1	02/27/2025	02/27/2025	08:57:57.957	07:57:57.957	62886	session1	Tobii I-VT (Fixation)	1.241.54219	1080	1920	10.00	0.8	11.6	7.9	0.07	0.97	0.66	3	42	29										1408931706			603	1284	706	1272	500	1297	0.06928	0.29982	-0.95148	-0.08625	0.31536	-0.94505	4.260	4.237	4.257				Valid	Valid	146.6	144.3	652.3	195.6	143.8	637.6	194.1	349.9	137.4	356.6															Saccade	50	1															
